Radius,1600-3d-3Kx_093_S5_Radius Histo.csv,1600-3d-3Kx_097_S5_Radius Histo.csv,1600-3d-3Kx_102_M1_Radius Histo.csv,1600-3d.2-3Kx_107_S6_Radius Histo.csv,1600-3d.2-3Kx_111_M1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
8.6486,0,0,0,0,0,0,0,0,0,0
8.6937,0,0,0,0,0,0,0,0,0,0
8.7387,0,0,0,0,0,0,0,0,0,0
8.7838,0,0,0,0,0,0,0,0,0,0
8.8288,0,0,0,0,0,0,0,0,0,0
8.8739,0,0,0,0,0,0,0,0,0,0
8.9189,0,0,0,0,0,0,0,0,0,0
8.9640,0,0,0,0,0,0,0,0,0,0
9.0090,0,0,0,0,0,0,0,0,0,0
9.0541,0,0,0,0,0,0,0,0,0,0
9.0991,0,0,0,0,0,0,0,0,0,0
9.1441,0,0,0,0,0,0,0,0,0,0
9.1892,0,0,0,0,0,0,0,0,0,0
9.2342,0,0,0,0,0,0,0,0,0,0
9.2793,0,0,0,0,0,0,0,0,0,0
9.3243,0,0,0,0,0,0,0,0,0,0
9.3694,0,0,0,0,0,0,0,0,0,0
9.4144,0,0,0,0,0,0,0,0,0,0
9.4595,0,0,0,0,0,0,0,0,0,0
9.5045,0,0,0,0,0,0,0,0,0,0
9.5495,0,0,0,0,0,0,0,0,0,0
9.5946,0,0,0,0,0,0,0,0,0,0
9.6396,0,0,0,0,0,0,0,0,0,0
9.6847,0,0,0,0,0,0,0,0,0,0
9.7297,0,0,0,0,0,0,0,0,0,0
9.7748,0,0,0,0,0,0,0,0,0,0
9.8198,0,0,0,0,0,0,0,0,0,0
9.8649,0,0,0,0,0,0,0,0,0,0
9.9099,0,0,0,0,0,0,0,0,0,0
9.9550,0,0,0,0,0,0,0,0,0,0
10.0000,0,0,0,0,0,0,0,0,0,0
10.0450,0,0,0,0,0,0,0,0,0,0
10.0901,0,0,0,0,0,0,0,0,0,0
10.1351,0,0,0,0,0,0,0,0,0,0
10.1802,0,0,0,0,0,0,0,0,0,0
10.2252,0,0,0,0,0,0,0,0,0,0
